aircraft_id,manufacturer,model,year,engines,seats,max_weight_pounds
N101DQ,AIRBUS,A321-211,2020.0,2.0,199.0,"20,000 and more"
N101DU,C SERIES AIRCRAFT LTD PTNRSP,BD-500-1A10,2018.0,2.0,133.0,"20,000 and more"
N101HQ,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,2007.0,2.0,80.0,"20,000 and more"
N101NN,AIRBUS INDUSTRIE,A321-231,2013.0,2.0,379.0,"20,000 and more"
N102DN,AIRBUS,A321-211,2020.0,2.0,199.0,"20,000 and more"
N102HQ,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,2007.0,2.0,80.0,"20,000 and more"
N102NN,AIRBUS,A321-231,2013.0,2.0,379.0,"20,000 and more"
N102UW,AIRBUS INDUSTRIE,A320-214,1998.0,2.0,182.0,"20,000 and more"
N103DY,AIRBUS,A321-211,2020.0,2.0,199.0,"20,000 and more"
N103HQ,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,2007.0,2.0,80.0,"20,000 and more"
N103NN,AIRBUS,A321-231,2013.0,2.0,379.0,"20,000 and more"
N103SY,EMBRAER S A,ERJ 170-200 LL,2014.0,2.0,88.0,"20,000 and more"
N103US,AIRBUS INDUSTRIE,A320-214,1999.0,2.0,182.0,"20,000 and more"
N104HQ,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,2007.0,2.0,80.0,"20,000 and more"
N104NN,AIRBUS,A321-231,2013.0,2.0,379.0,"20,000 and more"
N104UW,AIRBUS INDUSTRIE,A320-214,1999.0,2.0,182.0,"20,000 and more"
N105DX,AIRBUS,A321-211,2020.0,2.0,199.0,"20,000 and more"
N105HQ,EMBRAER,ERJ 170-200 LR,2007.0,2.0,88.0,"20,000 and more"
N105NN,AIRBUS,A321-231,2013.0,2.0,379.0,"20,000 and more"
N105SY,EMBRAER S A,ERJ 170-200 LL,2014.0,2.0,88.0,"20,000 and more"
N105UW,AIRBUS INDUSTRIE,A320-214,1999.0,2.0,182.0,"20,000 and more"
N106DN,AIRBUS,A321-211,2020.0,2.0,199.0,"20,000 and more"
N106HQ,EMBRAER,ERJ 170-200 LR,2007.0,2.0,88.0,"20,000 and more"
N106NN,AIRBUS INDUSTRIE,A321-231,2014.0,2.0,379.0,"20,000 and more"
N106SY,EMBRAER S A,ERJ 170-200 LR,2014.0,2.0,88.0,"20,000 and more"
N107DN,AIRBUS,A321-211,2020.0,2.0,199.0,"20,000 and more"
N107HQ,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,2007.0,2.0,80.0,"20,000 and more"
N107NN,AIRBUS INDUSTRIE,A321-231,2014.0,2.0,379.0,"20,000 and more"
N107SY,EMBRAER S A,ERJ 170-200 LR,2014.0,2.0,88.0,"20,000 and more"
N107US,AIRBUS INDUSTRIE,A320-214,1999.0,2.0,182.0,"20,000 and more"
N108DN,AIRBUS,A321-211,2021.0,2.0,199.0,"20,000 and more"
N108HQ,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,2007.0,2.0,80.0,"20,000 and more"
N108NN,AIRBUS INDUSTRIE,A321-231,2014.0,2.0,379.0,"20,000 and more"
N108SY,EMBRAER S A,ERJ 170-200 LL,2014.0,2.0,88.0,"20,000 and more"
N108UW,AIRBUS INDUSTRIE,A320-214,1999.0,2.0,182.0,"20,000 and more"
N109DN,AIRBUS,A321-211,2021.0,2.0,199.0,"20,000 and more"
N109DU,C SERIES AIRCRAFT LTD PTNRSP,BD-500-1A10,2019.0,2.0,133.0,"20,000 and more"
N109HQ,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,2007.0,2.0,80.0,"20,000 and more"
N109NN,AIRBUS INDUSTRIE,A321-231,2014.0,2.0,379.0,"20,000 and more"
N109SY,EMBRAER S A,ERJ 170-200 LR,2014.0,2.0,88.0,"20,000 and more"
N109UW,AIRBUS INDUSTRIE,A320-214,1999.0,2.0,182.0,"20,000 and more"
N110AN,AIRBUS INDUSTRIE,A321-231,2014.0,2.0,379.0,"20,000 and more"
N110DX,AIRBUS,A321-211,2021.0,2.0,199.0,"20,000 and more"
N110HQ,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,2007.0,2.0,80.0,"20,000 and more"
N110SY,EMBRAER S A,ERJ 170-200 LL,2014.0,2.0,88.0,"20,000 and more"
N110UW,AIRBUS INDUSTRIE,A320-214,1999.0,2.0,182.0,"20,000 and more"
N111DC,AIRBUS,A321-211,2021.0,2.0,199.0,"20,000 and more"
N111HQ,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,2007.0,2.0,80.0,"20,000 and more"
N111NG,C SERIES AIRCRAFT LTD PTNRSP,BD-500-1A10,2019.0,2.0,133.0,"20,000 and more"
N111US,AIRBUS INDUSTRIE,A320-214,1999.0,2.0,182.0,"20,000 and more"
N111ZM,AIRBUS INDUSTRIE,A321-231,2014.0,2.0,379.0,"20,000 and more"
N11206,BOEING,737-824,2000.0,2.0,149.0,"20,000 and more"
N112AN,AIRBUS INDUSTRIE,A321-231,2014.0,2.0,379.0,"20,000 and more"
N112DN,AIRBUS SAS,A321-211,2021.0,2.0,222.0,"20,000 and more"
N112DU,C SERIES AIRCRAFT LTD PTNRSP,BD-500-1A10,2019.0,2.0,133.0,"20,000 and more"
N112HQ,EMBRAER,ERJ 170-200 LR,2007.0,2.0,88.0,"20,000 and more"
N112US,AIRBUS INDUSTRIE,A320-214,1999.0,2.0,182.0,"20,000 and more"
N113AN,AIRBUS INDUSTRIE,A321-231,2014.0,2.0,379.0,"20,000 and more"
N113DQ,C SERIES AIRCRAFT LTD PTNRSP,BD-500-1A10,2019.0,2.0,133.0,"20,000 and more"
N113DX,AIRBUS,A321-211,2021.0,2.0,199.0,"20,000 and more"
N113HQ,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,2007.0,2.0,80.0,"20,000 and more"
N114DN,AIRBUS,A321-211,2021.0,2.0,199.0,"20,000 and more"
N114DU,C SERIES AIRCRAFT LTD PTNRSP,BD-500-1A10,2019.0,2.0,133.0,"20,000 and more"
N114HQ,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,2007.0,2.0,80.0,"20,000 and more"
N114SY,EMBRAER,ERJ 170-200 LR,2014.0,2.0,88.0,"20,000 and more"
N114UW,AIRBUS INDUSTRIE,A320-214,1999.0,2.0,182.0,"20,000 and more"
N115DN,AIRBUS,A321-211,2021.0,2.0,199.0,"20,000 and more"
N115DU,AIRBUS CANADA LTD PTNRSP,BD-500-1A10,2019.0,2.0,133.0,"20,000 and more"
N115HQ,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,2007.0,2.0,80.0,"20,000 and more"
N115NN,AIRBUS INDUSTRIE,A321-231,2014.0,2.0,379.0,"20,000 and more"
N116AN,AIRBUS INDUSTRIE,A321-231,2014.0,2.0,379.0,"20,000 and more"
N116DN,AIRBUS SAS,A321-211,2021.0,2.0,222.0,"20,000 and more"
N116DU,AIRBUS CANADA LTD PTNRSP,BD-500-1A10,2019.0,2.0,133.0,"20,000 and more"
N116HQ,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,2007.0,2.0,80.0,"20,000 and more"
N116SY,EMBRAER S A,ERJ 170-200 LL,2014.0,2.0,88.0,"20,000 and more"
N117AN,AIRBUS,A321-231,2014.0,2.0,379.0,"20,000 and more"
N117DU,AIRBUS CANADA LTD PTNRSP,BD-500-1A10,2019.0,2.0,133.0,"20,000 and more"
N117DX,AIRBUS,A321-211,2021.0,2.0,199.0,"20,000 and more"
N117HQ,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,2007.0,2.0,80.0,"20,000 and more"
N117SY,EMBRAER S A,ERJ 170-200 LR,2014.0,2.0,88.0,"20,000 and more"
N117UW,AIRBUS INDUSTRIE,A320-214,2000.0,2.0,182.0,"20,000 and more"
N118DU,AIRBUS CANADA LTD PTNRSP,BD-500-1A10,2019.0,2.0,133.0,"20,000 and more"
N118DY,AIRBUS,A321-211,2021.0,2.0,199.0,"20,000 and more"
N118HQ,EMBRAER,ERJ 170-200 LR,2007.0,2.0,88.0,"20,000 and more"
N118NN,AIRBUS INDUSTRIE,A321-231,2014.0,2.0,379.0,"20,000 and more"
N118SY,EMBRAER S A,ERJ 170-200 LR,2014.0,2.0,88.0,"20,000 and more"
N118US,AIRBUS INDUSTRIE,A320-214,2000.0,2.0,182.0,"20,000 and more"
N119DN,AIRBUS,A321-211,2021.0,2.0,199.0,"20,000 and more"
N119DU,AIRBUS CANADA LTD PTNRSP,BD-500-1A10,2019.0,2.0,133.0,"20,000 and more"
N119HQ,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,2007.0,2.0,80.0,"20,000 and more"
N119NN,AIRBUS,A321-231,2014.0,2.0,379.0,"20,000 and more"
N119SY,EMBRAER S A,ERJ 170-200 LR,2014.0,2.0,88.0,"20,000 and more"
N119US,AIRBUS INDUSTRIE,A320-214,2000.0,2.0,182.0,"20,000 and more"
N12004,BOEING,787-10,2019.0,2.0,120.0,"20,000 and more"
N12005,BOEING,787-10,2019.0,2.0,120.0,"20,000 and more"
N12006,BOEING,787-10,2019.0,2.0,120.0,"20,000 and more"
N1200K,BOEING,767-332,1998.0,2.0,330.0,"20,000 and more"
N12010,BOEING,787-10,2019.0,2.0,120.0,"20,000 and more"
N12012,BOEING,787-10,2020.0,2.0,120.0,"20,000 and more"
